LoAu,English Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lewes,South East,"55,700","55,800","56,400","57,200","57,500","57,800","58,200","58,400","58,200","58,400","58,600","58,500","58,600","58,800"
Maidstone,South East,"91,700","92,400","93,900","95,500","96,600","97,400","98,600","99,100","98,900","99,200","100,200","101,400","101,900","102,800"
Medway,South East,"163,600","164,400","165,900","168,300","170,400","171,500","173,000","174,000","174,700","175,500","176,100","176,700","177,200","176,600"
Mid Sussex,South East,"81,900","82,600","83,600","84,900","85,800","86,400","87,200","87,500","87,200","87,600","88,100","88,700","89,300","89,300"
Milton Keynes,South East,"148,600","152,000","154,700","157,000","159,500","161,800","164,500","166,400","166,600","167,600","168,900","169,800","170,600","170,300"
Mole Valley,South East,"50,100","50,300","50,700","51,300","51,900","51,900","52,100","52,000","51,700","51,900","51,700","51,600","51,700","51,500"
New Forest,South East,"101,900","102,500","103,300","103,700","103,800","103,900","103,800","103,400","102,300","101,700","101,400","101,000","100,500","100,000"
Oxford,South East,"103,600","107,000","105,900","105,100","104,600","104,900","106,700","108,400","108,400","108,700","110,100","109,800","109,800","109,100"
Portsmouth,South East,"130,900","134,000","133,700","132,800","133,500","135,800","138,500","140,100","140,100","139,400","139,800","141,500","143,800","144,800"
Reading,South East,"100,500","102,700","103,900","105,100","106,200","106,100","107,000","107,300","107,400","108,100","108,500","109,100","109,700","109,500"
Reigate and Banstead,South East,"81,200","81,700","83,000","84,500","85,500","86,600","87,500","88,200","88,100","88,300","88,900","89,100","89,700","90,000"
Rother,South East,"48,100","48,700","49,300","50,100","50,700","50,500","50,700","50,500","49,900","49,600","50,000","50,200","50,400","50,700"
Runnymede,South East,"51,100","51,200","51,400","52,200","52,400","52,600","53,100","53,000","53,600","54,400","54,700","55,600","56,700","57,000"
Rushmoor,South East,"60,300","60,800","61,600","62,200","62,800","62,800","63,200","63,800","63,600","63,400","63,400","63,000","63,600","63,100"
Sevenoaks,South East,"68,300","69,300","70,100","70,500","70,400","70,500","70,800","71,000","70,600","70,300","70,300","70,100","70,100","70,300"
Folkestone and Hythe,South East,"60,700","62,000","63,000","64,000","64,700","65,100","65,900","66,300","65,700","65,100","65,100","65,200","65,600","65,500"
Slough,South East,"80,500","82,200","84,100","86,200","88,500","90,600","92,400","94,100","94,000","94,000","94,500","95,100","95,600","95,600"
South Bucks,South East,"38,900","39,600","39,900","40,500","40,800","41,000","41,300","41,300","41,000","41,100","41,400","41,600","41,700","41,600"
South Oxfordshire,South East,"82,800","83,000","83,400","84,000","84,400","84,400","84,200","84,300","83,800","83,700","84,100","84,100","84,300","84,200"
Southampton,South East,"154,700","158,100","158,500","158,700","159,200","160,000","162,000","163,500","164,800","164,900","166,000","168,900","172,200","173,400"
Spelthorne,South East,"57,800","58,100","59,000","59,600","60,200","60,600","61,000","61,500","61,600","61,700","61,800","61,700","61,700","61,500"
Surrey Heath,South East,"52,800","53,200","53,900","54,500","54,300","54,600","54,900","55,100","54,600","54,600","54,700","54,900","54,800","54,500"
Swale,South East,"79,900","80,400","81,300","82,800","84,100","84,600","85,600","86,100","85,900","86,200","86,800","87,300","88,500","89,300"
Tandridge,South East,"49,400","49,600","50,200","50,900","51,200","51,300","51,600","51,600","51,500","51,900","52,100","52,300","52,400","52,700"
Test Valley,South East,"71,600","72,200","72,700","73,200","73,500","73,200","73,100","73,100","72,600","72,900","73,200","73,500","73,900","74,300"
Thanet,South East,"76,000","76,800","77,300","78,100","79,000","79,300","79,900","80,100","80,000","80,300","81,200","81,700","81,900","81,700"
Tonbridge and Malling,South East,"69,500","70,300","71,600","72,800","73,400","74,100","75,100","75,500","75,300","75,600","76,200","76,800","77,800","78,500"
Tunbridge Wells,South East,"66,000","66,500","67,500","69,000","70,400","71,300","72,000","72,500","72,000","71,800","71,700","71,400","71,700","72,000"
Vale of White Horse,South East,"74,500","75,100","76,000","76,400","76,200","76,300","76,300","76,800","76,400","76,300","76,500","77,400","78,400","79,800"
Waverley,South East,"72,800","72,600","72,900","73,300","73,400","73,700","73,600","73,700","73,000","72,800","72,600","72,800","72,800","73,000"
Wealden,South East,"85,800","86,400","87,400","88,100","87,900","87,400","87,900","88,500","88,300","88,500","89,500","90,300","90,700","90,700"
West Berkshire,South East,"95,300","96,200","97,400","98,600","99,600","99,900","99,800","99,100","98,300","98,300","98,000","98,100","98,300","97,600"
West Oxfordshire,South East,"61,900","62,700","63,900","65,300","65,900","66,100","66,300","66,500","67,000","66,900","66,400","66,300","65,900","65,900"
Winchester,South East,"69,900","70,100","70,700","71,400","72,200","72,700","73,200","73,300","73,300","73,500","74,100","74,700","75,100","75,200"
Windsor and Maidenhead,South East,"87,200","88,300","89,700","90,800","91,500","91,700","92,100","92,100","91,400","91,000","91,400","91,600","92,200","92,100"
Woking,South East,"58,300","59,400","60,900","62,100","62,800","63,300","63,900","64,500","64,000","63,800","63,600","63,300","63,100","62,700"
Wokingham,South East,"99,600","99,600","100,100","100,400","100,700","100,500","100,100","99,400","99,400","99,200","99,400","100,200","100,600","101,400"
Worthing,South East,"59,500","60,400","61,400","62,300","63,000","63,400","63,800","64,500","64,500","64,300","64,600","65,200","65,600","65,800"
Wycombe,South East,"106,000","106,800","107,700","108,300","108,500","108,400","109,000","109,700","109,200","108,400","108,300","108,100","107,800","106,700"
Bath and North East Somerset,South West,"110,700","111,700","111,700","112,800","113,400","112,800","113,300","113,900","114,200","115,400","116,400","118,700","120,400","121,500"
Bournemouth,South West,"105,400","107,700","109,000","112,100","113,500","115,200","119,400","122,600","123,800","124,200","124,800","125,800","126,700","126,900"
"Bristol, City of",South West,"268,500","277,500","280,900","284,300","286,100","288,300","290,500","293,300","295,200","298,500","302,100","307,500","311,500","314,100"
Cheltenham,South West,"71,300","72,600","73,600","74,500","74,600","75,300","76,100","76,600","76,100","75,400","75,200","74,900","74,800","74,200"
Christchurch,South West,"24,900","25,100","25,400","25,700","25,900","26,000","26,200","26,200","25,800","25,900","26,100","26,100","26,400","26,300"
Cornwall,South West,"316,600","319,800","322,600","325,200","326,400","325,900","326,600","327,300","325,800","324,900","324,800","325,500","326,700","328,900"
Cotswold,South West,"50,500","50,900","51,300","51,600","51,300","50,900","50,600","50,700","50,300","50,400","50,400","50,600","50,700","51,200"
East Devon,South West,"73,200","74,200","74,900","75,900","76,000","75,400","75,300","75,100","75,000","74,500","74,800","75,500","76,100","76,900"
East Dorset,South West,"49,200","49,300","49,700","50,100","50,100","49,600","49,400","49,200","48,600","48,200","47,900","48,000","47,800","47,700"
Exeter,South West,"74,900","77,200","77,400","78,200","78,100","78,200","79,000","80,000","81,100","82,600","84,000","86,300","87,600","88,400"
Forest of Dean,South West,"51,300","51,600","51,900","52,100","51,800","51,200","51,100","51,000","50,800","50,700","50,700","51,000","51,200","51,200"
Gloucester,South West,"72,200","73,600","75,200","76,800","77,500","78,000","78,900","79,500","80,000","80,200","80,600","81,300","81,600","81,900"
Isles of Scilly,South West,"1,400","1,400","1,500","1,500","1,500","1,400","1,400","1,400","1,400","1,400","1,400","1,400","1,400","1,400"
Mendip,South West,"66,100","66,700","67,100","67,700","67,900","67,500","67,600","67,600","67,300","67,000","67,100","67,300","67,600","67,300"
Mid Devon,South West,"44,900","45,400","45,900","46,900","47,200","47,300","47,200","47,400","47,100","46,900","46,900","46,900","46,900","47,100"
North Devon,South West,"55,200","55,800","56,400","56,900","56,900","56,700","56,600","56,800","55,900","55,300","55,000","55,000","54,900","55,200"
North Dorset,South West,"39,500","40,300","41,300","42,100","41,900","41,500","41,200","41,700","41,300","41,300","41,000","41,100","41,200","41,100"
North Somerset,South West,"119,300","120,800","122,400","124,100","124,600","124,300","124,100","123,300","122,600","122,500","122,600","123,200","123,700","123,800"
Plymouth,South West,"160,300","163,900","165,900","168,000","168,200","168,100","168,400","169,700","169,100","168,700","169,100","168,800","168,600","168,300"
Poole,South West,"86,000","86,800","88,000","89,300","90,100","90,800","91,400","92,000","91,000","90,600","90,500","90,400","90,500","90,600"
Purbeck,South West,"26,700","27,000","27,300","27,500","27,400","27,200","27,100","26,900","26,500","26,400","26,300","26,500","26,400","26,400"
Sedgemoor,South West,"66,900","67,700","68,600","69,800","70,100","69,900","70,100","70,600","70,500","70,900","71,300","71,600","71,900","71,800"
South Gloucestershire,South West,"163,700","165,300","166,400","167,000","167,100","167,500","167,800","168,700","169,600","170,700","171,200","172,500","173,800","174,900"
South Hams,South West,"50,300","50,700","51,200","51,600","51,600","51,100","50,900","50,300","49,400","49,100","48,800","48,800","48,300","48,300"
South Somerset,South West,"94,500","95,800","96,900","98,200","98,600","98,400","97,900","98,200","97,500","97,100","96,900","96,700","96,700","96,500"
Stroud,South West,"68,200","68,900","69,400","69,900","69,900","70,000","70,200","70,400","69,800","69,700","70,100","70,600","70,600","70,800"
Swindon,South West,"122,900","125,600","127,900","131,400","134,700","136,200","137,700","139,200","139,400","139,900","140,300","140,600","140,400","141,100"
Taunton Deane,South West,"65,500","66,400","66,900","67,500","67,800","67,900","68,200","68,400","68,300","68,400","68,100","68,500","69,100","69,600"
Teignbridge,South West,"74,100","74,600","75,100","75,400","75,500","75,300","75,000","74,600","74,100","74,100","74,500","75,000","75,100","75,900"
Tewkesbury,South West,"48,800","49,100","49,600","50,000","50,000","50,300","50,700","51,000","50,800","51,200","51,800","52,200","52,900","53,800"
Torbay,South West,"79,300","79,700","79,700","80,000","79,800","79,200","78,800","78,400","77,500","77,300","77,400","77,200","77,100","77,200"
Torridge,South West,"37,400","37,800","38,300","38,600","38,700","38,400","38,400","38,400","38,400","38,200","38,100","38,200","38,300","38,600"
West Devon,South West,"30,800","31,100","31,300","31,900","32,300","32,300","32,300","32,300","32,000","31,700","31,600","31,400","31,300","31,400"
West Dorset,South West,"55,500","56,100","56,800","57,400","57,500","57,200","57,300","57,200","56,500","56,300","55,900","55,600","55,600","55,400"
West Somerset,South West,"20,200","20,200","20,200","20,400","20,400","20,200","20,100","19,700","19,400","19,000","18,700","18,600","18,400","18,400"
Weymouth and Portland,South West,"40,300","40,700","40,800","41,100","41,100","41,000","40,700","40,500","40,000","39,600","39,000","38,800","38,600","38,600"
Wiltshire,South West,"280,300","282,700","286,200","290,600","293,900","294,700","295,600","296,800","295,000","295,100","295,900","297,000","297,200","298,200"
Birmingham,West Midlands,"635,200","646,300","651,800","658,800","666,100","672,600","680,700","690,500","696,300","699,500","705,500","713,700","725,300","731,500"
Bromsgrove,West Midlands,"57,000","57,400","57,900","58,400","58,600","58,400","58,100","58,000","57,800","57,800","58,000","57,800","58,100","58,400"
Cannock Chase,West Midlands,"61,500","62,100","62,400","62,800","63,100","63,300","63,300","63,400","63,300","63,100","63,000","62,700","62,500","62,700"
Coventry,West Midlands,"193,000","193,900","195,900","196,800","199,500","200,500","203,500","207,500","211,100","215,100","219,900","227,300","234,500","240,300"
Dudley,West Midlands,"193,700","194,200","194,900","195,200","195,700","195,200","195,200","195,200","193,800","193,400","193,000","192,800","192,800","193,200"
East Staffordshire,West Midlands,"67,800","68,500","69,400","70,600","71,500","71,800","72,300","72,800","72,400","72,200","72,400","72,300","72,400","72,500"
"Herefordshire, County of",West Midlands,"107,800","108,300","110,100","111,900","113,100","113,100","112,900","112,900","112,800","112,600","112,800","112,800","113,000","113,400"
Lichfield,West Midlands,"61,700","62,000","62,600","63,100","63,400","63,200","63,000","62,900","61,900","61,700","61,500","61,600","61,400","61,600"
Malvern Hills,West Midlands,"44,100","44,200","44,400","44,500","44,400","44,100","44,200","44,200","43,900","43,900","43,900","43,500","43,500","43,500"
Newcastle-under-Lyme,West Midlands,"79,800","80,100","80,400","80,700","80,400","79,900","79,900","80,000","79,600","80,000","80,300","80,600","81,600","81,900"
North Warwickshire,West Midlands,"40,300","40,400","40,400","40,400","40,400","40,200","39,900","39,600","39,300","38,900","38,800","38,800","38,800","39,200"
Nuneaton and Bedworth,West Midlands,"77,700","78,200","79,000","79,600","80,400","80,300","80,100","80,300","80,000","79,500","79,100","78,800","79,000","79,300"
Redditch,West Midlands,"53,000","53,400","54,500","55,000","55,600","55,600","55,600","55,600","55,100","54,700","54,200","53,900","53,500","53,100"
Rugby,West Midlands,"57,300","58,400","59,800","60,900","61,900","62,400","62,900","63,600","63,100","63,300","63,700","64,400","64,600","65,000"
Sandwell,West Midlands,"181,000","182,400","184,600","186,500","189,000","191,100","193,700","195,600","196,100","197,200","198,200","199,700","201,600","203,200"
Shropshire,West Midlands,"180,800","182,600","185,000","187,200","188,500","188,600","189,400","190,200","189,200","188,100","187,900","187,700","188,100","189,000"
Solihull,West Midlands,"125,500","125,900","126,900","127,400","128,200","128,000","128,100","127,800","126,700","127,200","127,000","126,700","127,000","127,600"
South Staffordshire,West Midlands,"68,200","68,200","68,300","68,400","68,400","68,100","68,100","68,100","67,200","68,400","68,100","67,600","67,500","67,800"
Stafford,West Midlands,"79,900","80,600","81,500","82,300","82,800","82,800","83,000","83,200","82,800","82,500","81,900","81,600","82,100","82,300"
Staffordshire Moorlands,West Midlands,"60,800","61,000","61,300","61,500","61,500","61,300","60,900","60,600","59,800","59,400","59,100","58,700","58,500","58,500"
Stoke-on-Trent,West Midlands,"156,100","156,600","158,300","159,000","159,700","159,700","160,600","161,300","160,700","160,000","159,300","158,900","159,700","160,400"
Stratford-on-Avon,West Midlands,"70,800","71,600","72,900","74,000","74,500","74,000","73,600","73,400","72,300","71,800","71,400","71,600","71,800","72,700"
Tamworth,West Midlands,"49,600","49,900","50,100","50,400","50,500","50,500","50,400","50,200","49,800","49,400","49,000","48,700","48,300","47,700"
Telford and Wrekin,West Midlands,"105,000","105,900","106,900","107,400","107,600","107,700","107,900","108,200","107,900","107,800","108,000","108,700","109,700","110,200"
Walsall,West Midlands,"159,400","160,400","161,600","162,700","163,900","164,800","165,900","167,300","167,200","167,200","167,800","168,700","170,100","171,200"
Warwick,West Midlands,"88,100","89,600","90,500","91,800","92,500","92,700","91,900","90,900","90,700","89,900","89,800","89,200","89,500","89,700"
Wolverhampton,West Midlands,"151,800","152,900","154,300","155,400","156,400","156,800","158,000","159,500","159,600","159,300","159,500","160,300","161,700","162,400"
Worcester,West Midlands,"61,700","62,200","62,800","63,400","64,200","64,600","64,900","65,500","65,700","65,900","65,900","65,800","66,300","66,400"
Wychavon,West Midlands,"71,800","71,900","72,300","72,600","72,500","72,200","72,200","72,000","71,600","71,600","71,700","72,200","72,400","73,300"
Wyre Forest,West Midlands,"62,400","62,600","62,700","62,700","62,400","61,700","61,100","60,600","59,700","59,300","58,900","58,900","58,700","58,700"
Barnsley,Yorkshire and The Humber,"141,600","142,900","144,500","146,000","147,100","147,600","147,800","148,600","148,700","149,500","150,200","151,000","151,600","151,700"
Bradford,Yorkshire and The Humber,"304,900","310,000","313,100","317,500","321,400","324,000","327,500","331,000","329,400","328,600","328,000","328,600","329,100","329,300"
Calderdale,Yorkshire and The Humber,"124,600","125,900","127,400","128,800","129,900","130,400","130,800","131,300","130,800","130,500","130,300","130,100","130,300","130,000"
Craven,Yorkshire and The Humber,"33,200","33,600","33,900","34,200","34,200","33,800","33,700","33,500","33,100","32,800","32,700","32,500","32,700","32,700"
Doncaster,Yorkshire and The Humber,"184,200","185,800","187,900","190,200","192,200","193,100","193,500","193,600","192,500","191,800","191,100","191,100","191,600","191,700"
East Riding of Yorkshire,Yorkshire and The Humber,"204,800","206,000","207,100","208,000","208,400","207,700","207,200","206,600","204,400","202,600","201,400","199,200","198,200","196,900"
Hambleton,Yorkshire and The Humber,"53,600","53,700","54,500","55,000","55,200","55,100","55,000","55,100","54,400","54,100","53,400","53,200","53,100","52,900"
Harrogate,Yorkshire and The Humber,"96,200","96,900","97,600","98,200","98,500","98,400","98,600","98,700","98,000","97,400","96,600","96,300","95,400","95,100"
"Kingston upon Hull, City of",Yorkshire and The Humber,"165,800","168,600","169,800","171,300","172,700","172,300","172,600","171,900","171,400","170,400","169,900","170,600","170,800","170,600"
Kirklees,Yorkshire and The Humber,"255,500","258,200","261,500","264,500","266,700","268,100","269,900","272,000","271,300","271,200","271,000","271,800","272,100","271,900"
Leeds,Yorkshire and The Humber,"480,200","492,800","494,600","497,100","499,500","500,200","501,700","502,700","504,800","504,100","504,300","508,100","512,100","512,800"
North East Lincolnshire,Yorkshire and The Humber,"98,900","99,500","99,900","100,300","100,700","100,800","100,800","101,000","99,900","99,400","98,800","98,400","97,700","97,000"
North Lincolnshire,Yorkshire and The Humber,"100,200","101,400","102,700","104,000","105,200","105,600","105,700","105,900","105,500","104,900","104,600","104,300","104,400","104,100"
Richmondshire,Yorkshire and The Humber,"31,500","32,400","33,000","33,800","34,500","34,700","34,800","34,900","35,000","34,700","33,500","33,000","34,000","33,500"
Rotherham,Yorkshire and The Humber,"160,200","161,100","162,100","162,600","163,300","163,600","163,300","163,200","162,200","161,400","161,300","161,300","161,400","161,400"
Ryedale,Yorkshire and The Humber,"31,500","31,800","31,800","32,000","31,900","31,800","31,400","31,200","31,100","31,000","31,100","31,200","31,400","31,500"
Scarborough,Yorkshire and The Humber,"66,200","66,500","66,700","66,900","67,000","66,600","66,500","65,900","65,000","64,300","63,700","63,100","62,500","62,100"
Selby,Yorkshire and The Humber,"50,400","51,000","51,800","52,700","53,600","53,700","54,000","54,100","53,900","53,700","53,800","53,800","53,900","54,200"
Sheffield,Yorkshire and The Humber,"339,700","345,400","347,300","349,200","352,900","355,600","359,900","364,900","367,200","368,000","369,700","373,900","377,400","380,200"
Wakefield,Yorkshire and The Humber,"205,500","206,500","208,200","209,500","210,500","211,000","211,000","210,800","209,800","209,800","209,400","209,900","211,000","212,300"
York,Yorkshire and The Humber,"124,700","126,300","126,900","127,500","128,000","128,700","130,700","132,300","132,800","134,200","134,800","136,300","136,900","137,600"
Column Total,,"32,399,600","32,769,800","33,107,800","33,440,400","33,713,000","33,892,200","34,118,000","34,347,400","34,307,000","34,351,400","34,475,400","34,669,600","34,856,100","34,950,900"
,,,,,,,,,,,,,,,
- These figures are missing.,,,,,,,,,,,,,,,
